episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale,phase,target_offset,init_pos,init_vel,init_ang
163,23234,466.24,180,100.0,0.3598,0.1635,0.4386,0.663,1.3318,0.6509,A,0.131,0.215,0.108,0.05
164,23493,563.91,259,86.5,0.3521,0.1233,0.5147,0.7149,1.1941,0.4421,A,0.131,0.216,0.108,0.05
165,23686,531.92,193,99.5,0.2932,0.1978,0.4536,0.556,1.4968,0.7602,A,0.132,0.216,0.108,0.05
166,23874,507.5,188,100.0,0.2981,0.1853,0.4551,0.5397,1.4697,0.7432,A,0.132,0.216,0.108,0.05
167,24053,540.11,179,100.0,0.1452,0.1952,0.4561,0.5865,1.8178,0.6689,A,0.132,0.216,0.108,0.05
168,24301,479.22,248,83.1,0.4261,0.1705,0.4866,0.5911,0.9884,0.5625,A,0.132,0.216,0.108,0.05
169,24514,605.73,213,100.0,0.2571,0.1858,0.4958,0.5731,1.6264,0.6912,A,0.133,0.216,0.108,0.05
170,24732,369.41,218,74.3,0.4852,0.1504,0.5304,0.6861,0.8254,0.4857,A,0.133,0.216,0.108,0.05
171,24930,569.23,198,100.0,0.2938,0.1964,0.4775,0.6307,1.5202,0.7744,A,0.133,0.217,0.108,0.05
172,25151,573.15,221,99.1,0.3634,0.1802,0.5134,0.5499,1.3686,0.7292,A,0.134,0.217,0.108,0.05
173,25361,525.75,210,100.0,0.3814,0.138,0.4643,0.666,1.2888,0.5963,A,0.134,0.217,0.108,0.05
174,25582,543.47,221,88.7,0.3295,0.1566,0.5467,0.7872,1.2421,0.5883,A,0.134,0.217,0.109,0.05
175,25807,643.31,225,100.0,0.2885,0.1699,0.49,0.6428,1.5391,0.7217,A,0.134,0.217,0.109,0.05
176,26040,704.3,233,100.0,0.3009,0.1905,0.5403,0.7086,1.5154,0.8416,A,0.135,0.217,0.109,0.05
177,26286,634.06,246,98.4,0.3569,0.1493,0.4893,0.6581,1.3561,0.6202,A,0.135,0.218,0.109,0.05
178,26494,507.26,208,93.8,0.3761,0.1959,0.5657,0.5607,1.225,0.7636,A,0.135,0.218,0.109,0.05
179,26705,471.49,211,77.7,0.1819,0.1803,0.4983,0.5624,1.3637,0.5786,A,0.136,0.218,0.109,0.05
180,26949,524.28,244,72.5,0.2803,0.2449,0.4872,0.6791,1.1388,0.6464,A,0.136,0.218,0.109,0.05
181,27172,580.96,223,88.8,0.2163,0.1927,0.4875,0.6104,1.5124,0.6393,A,0.136,0.218,0.109,0.05
182,27381,468.23,209,100.0,0.5181,0.2008,0.5302,0.6006,0.9392,0.7484,A,0.137,0.218,0.109,0.05
183,27608,547.72,227,100.0,0.3943,0.1387,0.5477,0.5659,1.318,0.573,A,0.137,0.218,0.109,0.05
184,27845,643.29,237,92.8,0.2427,0.1666,0.5026,0.6437,1.5257,0.6588,A,0.137,0.219,0.109,0.05
185,28080,379.01,235,66.8,0.4656,0.2328,0.5152,0.6849,0.7359,0.5665,A,0.137,0.219,0.109,0.05
186,28304,448.75,224,91.1,0.4923,0.1727,0.4757,0.5675,0.912,0.6577,A,0.138,0.219,0.109,0.05
187,28586,644.57,282,86.2,0.3581,0.1953,0.5172,0.6969,1.1867,0.5758,A,0.138,0.219,0.11,0.05
188,28779,508.2,193,99.5,0.3272,0.1422,0.4366,0.6359,1.4302,0.6241,A,0.138,0.219,0.11,0.05
189,28968,460.69,189,93.7,0.3432,0.1766,0.4749,0.5613,1.3102,0.6823,A,0.139,0.219,0.11,0.05
190,29179,468.79,211,100.0,0.5354,0.1649,0.4696,0.6642,0.9172,0.6877,A,0.139,0.219,0.11,0.05
191,29454,570.13,275,86.5,0.4018,0.142,0.471,0.6711,1.0913,0.4817,A,0.139,0.22,0.11,0.05
192,29670,559.04,216,93.1,0.3038,0.183,0.4497,0.6262,1.4025,0.6751,A,0.14,0.22,0.11,0.05
193,29926,426.56,256,67.2,0.4917,0.2119,0.4358,0.7618,0.6852,0.5864,A,0.14,0.22,0.11,0.05
194,30265,778.64,339,95.3,0.553,0.166,0.4144,0.7989,0.8786,0.696,A,0.14,0.22,0.11,0.05
195,30467,505.79,202,92.6,0.3343,0.1753,0.4238,0.6109,1.3148,0.702,A,0.141,0.22,0.11,0.05
