episode,step,drone_x,drone_y,drone_z,target_x,target_y,target_z,centroid_x,centroid_y,fraction,visible,r_stability,r_centering,r_scale,reward,action_mag,controller_state
1,80,-0.099,0.007,0.071,-0.05,0.18,-1.302,0.324,-0.491,0.2549,1.0,0.992,0.709,0.997,2.697,0.098,track
1,81,-0.099,0.005,0.074,-0.05,0.18,-1.302,0.323,-0.493,0.2539,1.0,0.992,0.706,0.998,2.696,0.087,track
1,82,-0.099,0.003,0.076,-0.05,0.18,-1.302,0.321,-0.493,0.2529,1.0,0.993,0.708,0.999,2.7,0.073,track
1,83,-0.099,0.001,0.079,-0.05,0.18,-1.302,0.32,-0.494,0.251,1.0,0.993,0.708,1.0,2.7,0.061,track
1,84,-0.099,-0.001,0.082,-0.05,0.18,-1.302,0.314,-0.492,0.248,1.0,0.993,0.719,1.0,2.712,0.048,track
1,85,-0.099,-0.003,0.085,-0.05,0.18,-1.302,0.309,-0.492,0.2451,1.0,0.993,0.727,0.999,2.719,0.045,track
1,86,-0.1,-0.005,0.088,-0.05,0.18,-1.302,0.307,-0.49,0.2441,1.0,0.994,0.733,0.999,2.725,0.049,track
1,87,-0.099,-0.007,0.091,-0.05,0.18,-1.302,0.307,-0.493,0.2432,1.0,0.994,0.727,0.998,2.719,0.039,track
1,88,-0.099,-0.009,0.094,-0.05,0.18,-1.302,0.307,-0.493,0.2432,1.0,0.994,0.727,0.998,2.72,0.051,track
1,89,-0.099,-0.011,0.097,-0.05,0.18,-1.302,0.304,-0.502,0.2393,1.0,0.995,0.712,0.996,2.703,0.036,track
1,90,-0.099,-0.013,0.1,-0.05,0.18,-1.302,0.304,-0.504,0.2383,1.0,0.995,0.708,0.995,2.698,0.067,track
1,91,-0.099,-0.015,0.104,-0.05,0.18,-1.302,0.297,-0.512,0.2373,1.0,0.995,0.701,0.994,2.69,0.053,track
1,92,-0.099,-0.017,0.107,-0.05,0.18,-1.302,0.296,-0.514,0.2363,1.0,0.995,0.695,0.994,2.684,0.083,track
1,93,-0.099,-0.019,0.11,-0.05,0.18,-1.302,0.296,-0.514,0.2363,1.0,0.996,0.695,0.994,2.685,0.078,track
1,94,-0.099,-0.02,0.114,-0.05,0.18,-1.302,0.293,-0.514,0.2344,1.0,0.996,0.7,0.992,2.687,0.089,track
1,95,-0.098,-0.022,0.117,-0.05,0.18,-1.302,0.291,-0.515,0.2334,1.0,0.996,0.701,0.99,2.688,0.077,track
1,96,-0.098,-0.024,0.12,-0.05,0.18,-1.302,0.291,-0.515,0.2334,1.0,0.996,0.701,0.99,2.688,0.072,track
1,97,-0.098,-0.026,0.124,-0.05,0.18,-1.302,0.285,-0.513,0.2324,1.0,0.997,0.712,0.989,2.698,0.064,track
1,98,-0.098,-0.027,0.128,-0.05,0.18,-1.302,0.284,-0.517,0.2305,1.0,0.996,0.704,0.987,2.687,0.065,track
1,99,-0.097,-0.029,0.131,-0.05,0.18,-1.302,0.281,-0.524,0.2266,1.0,0.997,0.693,0.981,2.671,0.066,track
1,100,-0.097,-0.031,0.135,-0.05,0.18,-1.302,0.277,-0.525,0.2266,1.0,0.997,0.695,0.981,2.673,0.075,track
1,101,-0.097,-0.032,0.139,-0.05,0.18,-1.302,0.277,-0.526,0.2236,1.0,0.997,0.691,0.976,2.664,0.055,track
1,102,-0.096,-0.034,0.143,-0.05,0.18,-1.302,0.269,-0.524,0.2197,1.0,0.997,0.706,0.969,2.672,0.07,track
1,103,-0.096,-0.035,0.146,-0.05,0.18,-1.302,0.267,-0.527,0.2197,1.0,0.997,0.702,0.969,2.668,0.044,track
