episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
134,17192,8.13,219,1.7451,1.3169,0.333,A,0.482,0.762,0.0,0.631,0.1,-0.3082
135,17564,13.5,372,1.2674,1.3271,0.333,A,0.3382,0.872,0.0,0.6786,0.1,-0.3737
136,17807,9.12,243,1.6809,1.0376,0.333,A,0.4239,0.7431,0.0034,0.7306,0.1,-0.3169
137,18072,10.81,265,1.8764,1.0196,0.333,A,0.5269,0.7524,0.0199,0.7229,0.1,-0.2962
138,18300,11.96,228,1.5298,0.5835,0.333,A,0.6014,0.8733,0.3637,0.7122,0.1,-0.2917
139,18544,12.13,244,0.9308,0.8038,0.337,A,0.8535,0.7237,0.0815,0.6792,0.1,-0.1783
140,18889,14.06,345,1.6203,0.7011,0.337,A,0.3477,0.7445,0.2974,0.7569,0.1,-0.371
141,19185,12.05,296,1.697,0.8398,0.337,A,0.4303,0.8799,0.0857,0.7369,0.1,-0.3412
142,19559,13.11,374,1.2402,0.876,0.337,A,0.4671,0.5966,0.1081,0.6512,0.1,-0.2901
143,19822,9.33,263,1.1592,1.1367,0.337,A,0.3798,0.6143,0.0,0.7723,0.1,-0.1996
144,20139,8.92,317,1.1226,1.965,0.337,A,0.4011,0.5079,0.0,0.6235,0.1,-0.3123
145,20400,6.64,261,1.5332,1.9294,0.337,A,0.4048,0.4786,0.0,0.5586,0.1,-0.3429
146,20700,12.68,300,1.1677,0.7079,0.341,A,0.5397,0.7732,0.0736,0.7249,0.1,-0.2483
147,20901,8.52,201,1.3903,1.1017,0.341,A,0.5986,0.937,0.0002,0.6551,0.1,-0.291
148,21078,7.3,177,1.3973,1.1214,0.341,A,0.5955,0.9512,0.0002,0.5975,0.1,-0.2881
149,21338,11.22,260,1.3671,0.9408,0.341,A,0.62,0.8353,0.014,0.7491,0.1,-0.2885
150,21638,10.33,300,0.967,1.0501,0.341,A,0.4531,0.679,0.0002,0.676,0.1,-0.2767
151,21934,10.21,296,0.9133,1.0838,0.341,A,0.4556,0.7081,0.0001,0.6442,0.1,-0.2753
152,22412,14.51,478,0.9937,1.3719,0.341,A,0.2356,0.7779,0.1907,0.5376,0.1,-0.4153
153,22838,16.46,426,1.4215,0.8483,0.345,A,0.4346,0.8189,0.1452,0.6471,0.1,-0.3228
154,23044,10.17,206,1.3662,0.6985,0.345,A,0.6876,0.8518,0.3168,0.6805,0.1,-0.2718
155,23255,9.3,211,1.1948,0.9972,0.345,A,0.6799,0.93,0.0033,0.6762,0.1,-0.2654
156,23435,7.53,180,1.2797,1.1195,0.345,A,0.7537,0.8853,0.0001,0.5295,0.1,-0.2389
157,23776,9.47,341,1.7152,1.0514,0.345,A,0.3403,0.6951,0.0006,0.5817,0.1,-0.3768
158,24007,10.91,231,1.4454,0.7598,0.345,A,0.6452,0.7861,0.203,0.822,0.1,-0.2835
159,24277,10.3,270,1.2926,0.9807,0.345,A,0.4709,0.8485,0.0019,0.7412,0.1,-0.3204
160,24510,10.07,233,1.1594,0.9937,0.345,A,0.6594,0.8847,0.0024,0.6944,0.1,-0.2511
161,24786,13.67,276,1.2425,0.7854,0.349,A,0.7431,0.8748,0.1682,0.768,0.1,-0.2554
162,25039,14.36,253,0.9431,0.6859,0.349,A,1.0587,0.904,0.2301,0.684,0.1,-0.1838
163,25362,15.7,323,1.2341,0.906,0.349,A,0.7333,0.8107,0.1302,0.9188,0.1,-0.243
164,25629,10.95,267,1.1554,0.9069,0.349,A,0.7598,0.6497,0.0287,0.7953,0.1,-0.2266
165,25911,13.09,282,1.2405,0.8155,0.349,A,0.6108,0.923,0.1536,0.8697,0.1,-0.266
166,26181,12.13,270,1.591,0.6987,0.349,A,0.5833,0.9155,0.1882,0.8478,0.1,-0.2981
167,26448,11.8,267,1.0558,0.9154,0.349,A,0.6871,0.8424,0.1221,0.7868,0.1,-0.2228
168,26828,12.14,380,1.8399,0.7628,0.353,A,0.332,0.8734,0.1774,0.5734,0.1,-0.3737
169,27114,11.91,286,1.4671,0.8848,0.353,A,0.5135,0.8506,0.1543,0.8835,0.1,-0.3094
170,27412,12.85,298,1.5824,0.727,0.353,A,0.6233,0.8328,0.1914,0.8166,0.1,-0.2836
171,27803,9.76,391,1.8603,0.9662,0.353,A,0.3149,0.7057,0.0038,0.5886,0.1,-0.3811
