tier,episode,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
easy,4,2000,False,9535.68,100.0,0.1874,0.15945,0.1227,0.128,0.9972,3.1594,0.7105,0.4765,-0.0733,500001
easy,5,2000,False,9747.27,100.0,0.1105,0.18035,0.3006,0.5844,0.9974,3.654,0.8375,0.4967,-0.6083,500001
easy,6,2000,False,9486.19,100.0,0.1915,0.14155,0.0783,0.0934,0.9978,3.164,0.6154,0.4941,-0.0289,500001
easy,7,2000,False,8811.74,100.0,0.2129,0.12596,0.1449,0.1456,0.992,2.9834,0.5147,0.4853,-0.0634,500001
easy,8,2000,False,10634.51,100.0,0.1472,0.19711,0.0719,0.1155,0.9988,3.4914,0.893,0.4969,-0.0627,500001
easy,9,2000,False,10887.93,100.0,0.137,0.22404,0.0644,0.0634,0.9991,3.4895,0.9696,0.4979,-0.0131,500001
easy,10,2000,False,10570.06,100.0,0.1462,0.19404,0.0645,0.0842,0.9982,3.4568,0.8689,0.4952,-0.0332,500001
medium,11,2000,False,9117.53,100.0,0.2792,0.22452,0.124,0.2221,0.9978,2.7423,0.9529,0.4954,-0.1272,500001
medium,12,2000,False,2342.25,94.1,0.9563,0.07336,0.2035,0.0956,0.982,0.0299,0.3463,0.4285,-0.0649,500001
medium,13,2000,False,8121.82,100.0,0.2719,0.20952,0.2377,0.4412,0.9971,2.664,0.8618,0.4872,-0.4467,500001
medium,14,2000,False,9872.81,100.0,0.1782,0.25888,0.1172,0.1932,0.9985,3.3218,0.8327,0.4891,-0.2056,500001
medium,15,643,True,1797.95,99.4,0.4929,0.1089,0.1359,0.0682,0.967,1.4971,0.5106,0.3653,-0.0215,500001
medium,16,2000,False,7508.11,98.6,0.3537,0.1621,0.1782,0.1571,0.9906,2.2863,0.6292,0.4738,-0.1061,500001
medium,17,1448,True,205.68,22.5,0.9832,0.02988,0.1242,0.0452,0.9706,0.0062,0.0438,0.413,-0.0254,500001
medium,18,2000,False,6509.55,100.0,0.4462,0.15435,0.0996,0.0703,0.9938,1.6281,0.6879,0.4732,-0.0243,500001
medium,19,2000,False,6561.93,100.0,0.4096,0.17367,0.1467,0.2293,0.9978,1.7291,0.7444,0.4902,-0.1818,500001
medium,20,2000,False,4502.38,100.0,0.3254,0.08391,0.4921,0.9443,0.9946,2.2792,0.3848,0.4813,-1.3925,500001
hard,21,2000,False,3780.1,81.1,0.5495,0.06047,0.2118,0.1892,0.9732,1.0503,0.2454,0.4312,-0.1381,500001
hard,22,1666,True,2331.89,76.7,0.5468,0.12115,0.2845,0.4285,0.9731,0.8974,0.4107,0.3686,-0.5214,500001
hard,23,2000,False,973.38,35.8,0.8551,0.08508,0.1101,0.0367,0.9839,0.102,0.1507,0.4041,-0.0212,500001
hard,24,2000,False,7711.42,95.8,0.2831,0.14953,0.2533,0.4515,0.9957,2.752,0.6182,0.484,-0.452,500001
hard,25,2000,False,6271.2,91.1,0.3529,0.1118,0.2215,0.3606,0.9957,2.1601,0.4586,0.4787,-0.3714,500001
hard,26,2000,False,3850.52,76.0,0.5375,0.02559,0.2512,0.2733,0.9841,1.3105,0.1361,0.4776,-0.2609,500001
hard,27,1047,True,-8.5,10.6,1.112,0.02675,0.1621,0.0329,0.9574,0.0008,0.0199,0.4089,-0.0125,500001
hard,28,2000,False,7568.41,93.7,0.3461,0.18461,0.1749,0.2829,0.9966,2.3415,0.7597,0.485,-0.2354,500001
hard,29,1015,True,-142.24,0.3,1.0851,0.01237,0.1214,0.0145,0.9473,0.0,0.0004,0.3984,-0.0057,500001
hard,30,2000,False,7114.65,88.9,0.3609,0.13547,0.0975,0.0438,0.993,2.1639,0.5555,0.4786,-0.0233,500001
