tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
medium,14,0.25,58,True,-16.38,6.9,1.0612,0.0459,0.2785,0.0488,0.8488,0.0016,0.0167,0.4285,-0.0327,750001
medium,15,0.25,17,True,0.36,76.5,0.7768,0.14446,0.724,0.1386,0.4356,0.0973,0.4965,0.3266,-0.121,750001
medium,16,0.25,412,True,851.32,98.5,0.648,0.19729,0.2589,0.1208,0.9346,0.7751,0.7395,0.2467,-0.0636,750001
medium,17,0.25,93,True,-12.9,11.8,0.7795,0.1163,0.2532,0.041,0.8815,0.0905,0.066,0.4224,-0.0236,750001
medium,18,0.25,55,True,-17.85,7.3,1.0034,0.05933,0.2337,0.0516,0.8357,0.0031,0.0211,0.3943,-0.0286,750001
medium,19,0.25,276,True,418.48,83.7,0.8101,0.14397,0.2968,0.1268,0.9376,0.4919,0.4951,0.3459,-0.0742,750001
medium,20,0.25,264,True,97.51,51.5,0.8301,0.12382,0.3598,0.298,0.9379,0.125,0.2976,0.4024,-0.4007,750001
fast,21,0.4,133,True,141.49,96.2,0.9143,0.09679,0.392,0.1034,0.8417,0.0695,0.4378,0.3698,-0.051,750001
fast,22,0.4,186,True,238.57,75.8,0.7764,0.14518,0.3468,0.078,0.9296,0.4108,0.4468,0.3446,-0.0416,750001
fast,23,0.4,31,True,22.32,80.6,0.771,0.15555,0.618,0.1012,0.5922,0.2981,0.5649,0.3017,-0.0866,750001
fast,24,0.4,289,True,-83.8,5.2,0.9306,0.06426,0.2112,0.2059,0.9409,0.0013,0.0172,0.4192,-0.2072,750001
fast,25,0.4,34,True,9.01,70.6,0.9153,0.07092,0.5049,0.1378,0.6377,0.0549,0.2465,0.341,-0.0737,750001
fast,26,0.4,18,True,-17.57,5.6,1.2818,0.00391,0.6448,0.155,0.5168,0.0,0.0068,0.3728,-0.1141,750001
fast,27,0.4,199,True,248.31,96.5,0.9015,0.10213,0.2957,0.1346,0.9259,0.1984,0.4403,0.3656,-0.0898,750001
fast,28,0.4,595,True,289.75,36.0,0.791,0.15059,0.2323,0.0645,0.9551,0.1211,0.2279,0.3709,-0.0321,750001
fast,29,0.4,319,True,187.33,59.9,0.9512,0.09401,0.2449,0.1655,0.9512,0.0827,0.263,0.3653,-0.1558,750001
fast,30,0.4,111,True,87.37,98.2,1.0416,0.05212,0.2908,0.0763,0.8672,0.0402,0.2751,0.2586,-0.0298,750001
