episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
84,7921,-142.88,62,9.7,1.3754,0.0029,0.5094,0.7004,0.4834,0.0,0.0116,0.2968,-0.8419,A,0.0766,0.207,0.204,0.102,0.031
85,8013,-151.57,92,29.3,0.8724,0.1613,0.4864,0.6728,0.3384,0.0377,0.204,0.197,-0.7921,A,0.0631,0.207,0.204,0.102,0.031
86,8061,-128.48,48,0.0,0.0,0.0,0.4917,0.6788,0.4359,0.0,0.0,0.3146,-0.7705,A,0.0548,0.207,0.204,0.102,0.031
87,8137,-172.26,76,0.0,0.0,0.0,0.5458,0.6909,0.4935,0.0,0.0,0.2398,-0.8519,A,0.0788,0.207,0.204,0.102,0.031
88,8197,-148.88,60,0.0,0.0,0.0,0.4807,0.6831,0.4127,0.0,0.0,0.2561,-0.7967,A,0.0742,0.207,0.204,0.102,0.031
89,8333,-183.46,136,20.6,0.9212,0.083,0.5009,0.6706,0.6811,0.0093,0.0839,0.3404,-0.801,A,0.0605,0.207,0.204,0.102,0.031
90,8390,-139.49,57,0.0,0.0,0.0,0.4904,0.6666,0.4918,0.0,0.0,0.288,-0.7727,A,0.0586,0.207,0.204,0.102,0.031
91,8484,-78.51,94,79.8,0.864,0.1096,0.5013,0.6714,0.5217,0.2114,0.417,0.2533,-0.8156,A,0.0548,0.208,0.204,0.102,0.031
92,8593,-110.22,109,77.1,0.7905,0.0791,0.4948,0.6493,0.4164,0.4608,0.2964,0.194,-0.7639,A,0.0962,0.208,0.204,0.102,0.031
93,8788,-155.77,195,46.7,0.6991,0.1797,0.4967,0.6908,0.4655,0.2701,0.3442,0.133,-0.8496,A,0.1007,0.208,0.204,0.102,0.031
94,8930,-248.88,142,5.6,1.0875,0.0247,0.5182,0.6987,0.6856,0.0002,0.0099,0.187,-0.8662,A,0.0998,0.208,0.204,0.102,0.031
95,8994,-141.75,64,6.2,1.1616,0.0056,0.5064,0.651,0.5163,0.0001,0.0079,0.2857,-0.7494,A,0.0776,0.208,0.204,0.102,0.031
96,9099,-64.85,105,56.2,0.6683,0.1874,0.48,0.6434,0.4898,0.4204,0.3994,0.2344,-0.7592,A,0.0902,0.208,0.204,0.102,0.031
97,9176,-164.82,77,0.0,0.0,0.0,0.4849,0.6615,0.511,0.0,0.0,0.2752,-0.7817,A,0.101,0.208,0.204,0.102,0.031
98,9247,-152.73,71,0.0,0.0,0.0,0.4945,0.6325,0.5119,0.0,0.0,0.2783,-0.7193,A,0.0843,0.208,0.204,0.102,0.031
99,9309,-136.01,62,19.4,1.1307,0.0387,0.5192,0.6625,0.4123,0.0006,0.0426,0.2464,-0.7714,A,0.0587,0.208,0.204,0.102,0.031
100,9396,-177.8,87,0.0,0.0,0.0,0.4918,0.6292,0.4234,0.0,0.0,0.223,-0.6936,A,0.0644,0.208,0.204,0.102,0.031
101,9531,-280.94,135,0.0,0.0,0.0,0.5137,0.6772,0.2516,0.0,0.0,0.1125,-0.8207,A,0.1,0.208,0.204,0.102,0.031
102,9573,-109.7,42,19.0,1.0987,0.017,0.4951,0.6204,0.3543,0.001,0.0291,0.3182,-0.651,A,0.0568,0.209,0.204,0.102,0.031
103,9720,-190.24,147,51.0,0.5844,0.0441,0.525,0.6925,0.4878,0.4544,0.1197,0.1949,-0.8506,A,0.0916,0.209,0.204,0.102,0.031
104,9827,-162.85,107,54.2,0.7522,0.0692,0.4937,0.6365,0.1923,0.3454,0.1827,0.1253,-0.7171,A,0.0714,0.209,0.204,0.102,0.031
105,9889,-36.68,62,58.1,0.5051,0.2176,0.4971,0.7062,0.4815,0.8976,0.4753,0.3002,-0.8603,A,0.0751,0.209,0.204,0.102,0.031
106,9969,-123.88,80,52.5,1.097,0.0511,0.5148,0.691,0.5271,0.0088,0.1392,0.2772,-0.8628,A,0.0646,0.209,0.204,0.102,0.031
107,10969,-782.29,1000,0.0,0.0,0.0,0.4108,0.6181,0.9685,0.0,0.0,0.4094,-0.676,A,0.0725,0.21,0.205,0.102,0.031
108,11271,100.85,302,97.4,1.0823,0.0521,0.4114,0.5089,0.9073,0.0052,0.2634,0.3443,-0.4813,A,0.0661,0.21,0.205,0.103,0.031
109,11687,8.02,416,54.1,0.8276,0.1552,0.4589,0.5557,0.9043,0.0919,0.3754,0.3587,-0.5979,A,0.0706,0.21,0.205,0.103,0.031
110,12380,-330.84,693,26.4,1.074,0.0647,0.4385,0.4751,0.873,0.0023,0.0844,0.2559,-0.4375,A,0.0993,0.211,0.206,0.103,0.031
111,12986,-174.61,606,40.9,0.952,0.1031,0.4556,0.5806,0.9341,0.0324,0.1892,0.3433,-0.6247,A,0.055,0.212,0.206,0.103,0.031
112,13984,-411.56,998,22.0,0.8203,0.1378,0.4603,0.5212,0.913,0.0384,0.1363,0.3474,-0.5381,A,0.0934,0.212,0.206,0.103,0.031
