episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
150,22938,5.27,235,0.8311,0.8086,0.345,A,0.4829,0.4284,0.0119,0.5623,0.1,-0.3149
151,23371,19.62,433,0.3625,0.9791,0.345,A,1.1129,0.6158,0.0009,0.7924,0.1,-0.0924
152,23878,18.1,507,0.4139,1.1256,0.345,A,0.8682,0.5628,0.091,0.6383,0.1,-0.1893
153,24211,13.73,333,0.5024,0.6733,0.345,A,1.0497,0.6654,0.0542,0.7281,0.1,-0.1517
154,24599,11.26,388,0.6372,0.9438,0.349,A,0.6231,0.5338,0.129,0.6016,0.1,-0.2358
155,24941,11.52,342,0.362,0.6264,0.349,A,0.7021,0.5525,0.185,0.6289,0.1,-0.1316
156,25488,16.53,547,1.5702,0.9854,0.349,A,0.5071,0.6492,0.203,0.6906,0.1,-0.3163
157,25971,14.93,483,1.2532,0.7621,0.349,A,0.5711,0.6802,0.1754,0.6548,0.1,-0.2816
158,26297,13.43,326,0.2461,0.5629,0.349,A,0.9849,0.6093,0.1507,0.771,0.1,-0.0583
159,26648,11.09,351,0.5916,0.8697,0.353,A,0.7815,0.6075,0.0082,0.6566,0.1,-0.1724
160,27146,13.15,498,0.4826,1.6426,0.353,A,0.597,0.5112,0.0034,0.5859,0.1,-0.1446
161,27424,7.27,278,0.481,0.5968,0.353,A,0.4446,0.497,0.0769,0.6211,0.1,-0.0935
162,27957,11.4,533,0.8323,1.4346,0.353,A,0.3804,0.5248,0.0175,0.6258,0.1,-0.318
163,28453,15.76,496,0.9559,0.8233,0.353,A,0.5548,0.6045,0.3976,0.6292,0.1,-0.3135
164,28704,9.32,251,0.2199,1.1938,0.357,A,0.8664,0.632,0.0003,0.7371,0.1,0.0
165,29102,9.08,398,0.7537,0.7832,0.357,A,0.3181,0.5907,0.0615,0.6288,0.1,-0.2651
166,29590,15.28,488,0.3278,0.9528,0.357,A,0.7294,0.5883,0.0205,0.6288,0.1,-0.1158
167,29993,14.87,403,0.7084,0.6832,0.357,A,0.7984,0.7656,0.1403,0.7584,0.1,-0.2506
168,30406,9.99,413,0.7828,1.0519,0.357,A,0.3924,0.5561,0.2103,0.5576,0.1,-0.2833
169,30993,16.37,587,1.2552,0.8408,0.361,A,0.3993,0.6739,0.1563,0.7654,0.1,-0.3356
170,31610,18.91,617,0.549,0.8308,0.361,A,0.5183,0.6845,0.0097,0.7627,0.1,-0.1418
171,32033,9.85,423,0.4799,1.3354,0.361,A,0.4498,0.5701,0.0035,0.5665,0.1,-0.2104
172,32406,16.32,373,0.1983,0.4466,0.361,A,1.132,0.4844,0.2925,0.7976,0.1,-0.0402
173,32763,8.32,357,0.4973,1.333,0.361,A,0.5832,0.493,0.0169,0.4976,0.1,-0.1863
174,33082,10.84,319,0.2952,1.1671,0.366,A,0.85,0.5363,0.0011,0.7554,0.1,-0.0627
175,33385,11.74,303,0.2446,0.4965,0.366,A,0.8154,0.4937,0.2718,0.816,0.1,-0.0132
176,33720,11.56,335,0.2521,1.0118,0.366,A,0.8067,0.5826,0.0003,0.7469,0.1,-0.0224
177,34040,11.22,320,0.3411,1.1625,0.366,A,1.0185,0.5143,0.0001,0.7362,0.1,-0.1172
178,34310,9.67,270,0.2368,0.7038,0.366,A,0.9272,0.5473,0.0107,0.7673,0.1,-0.0389
