episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_offset,init_pos,init_vel,init_ang
161,97666,4740.39,2241,97.7,0.492,0.1525,0.4363,0.6368,0.9695,1.2896,0.6708,0.433,-0.725,B,0.417,0.378,0.189,0.07
162,98669,1859.55,1003,77.2,0.3838,0.1227,0.4592,0.5992,0.905,1.5728,0.4419,0.3311,-0.6799,B,0.418,0.379,0.189,0.07
163,101669,12986.39,3000,100.0,0.2151,0.1829,0.3553,0.5819,0.9961,3.0905,0.8417,0.4933,-0.5894,B,0.422,0.381,0.191,0.07
164,104669,8112.1,3000,100.0,0.3838,0.123,0.3504,0.577,0.9959,1.7363,0.573,0.4934,-0.5963,B,0.426,0.384,0.192,0.071
165,107669,9311.62,3000,100.0,0.3475,0.1908,0.3889,0.644,0.9948,1.9761,0.8589,0.4959,-0.7186,B,0.429,0.386,0.193,0.072
166,108843,3037.33,1174,100.0,0.3748,0.0901,0.419,0.6465,0.9651,1.9768,0.4254,0.4582,-0.7297,B,0.431,0.387,0.194,0.072
167,111843,10483.2,3000,100.0,0.291,0.1572,0.3805,0.5916,0.9944,2.4098,0.7119,0.495,-0.6129,B,0.434,0.389,0.195,0.072
168,114843,12974.64,3000,100.0,0.2067,0.226,0.3679,0.6203,0.996,3.0512,0.9578,0.492,-0.6672,B,0.438,0.392,0.196,0.073
169,117843,13304.5,3000,100.0,0.1486,0.1045,0.3096,0.4948,0.9968,3.3983,0.4775,0.4954,-0.4385,B,0.441,0.394,0.197,0.074
170,120843,7391.79,3000,100.0,0.4513,0.155,0.3598,0.5449,0.9953,1.2888,0.7093,0.4955,-0.5275,B,0.445,0.397,0.198,0.074
171,123843,11573.29,3000,100.0,0.3047,0.2406,0.3676,0.5462,0.9883,2.4984,0.9322,0.4806,-0.5364,B,0.449,0.399,0.2,0.075
