episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_track_sum,r_alive_sum,r_jerk_sum,term_reason
206,35099,159.23,196,100.0,0,0.5343,0.4258,139.626,19.6,0.0,
207,35314,119.63,215,100.0,0,0.4126,0.3385,98.13,21.5,0.0,
208,35523,152.88,209,97.1,0,0.453,0.3386,131.982,20.9,0.0,
209,35713,146.14,190,100.0,0,0.5683,0.4417,127.139,19.0,0.0,
210,35904,134.61,191,95.8,0,0.5243,0.3205,115.509,19.1,0.0,
211,36111,109.39,207,100.0,0,0.4369,0.3137,88.694,20.7,0.0,
212,36271,124.48,160,96.2,0,0.6197,0.3389,108.484,16.0,0.0,
213,36486,144.32,215,100.0,0,0.5096,0.3772,122.817,21.5,0.0,
214,36631,28.15,145,71.7,0,0.4808,0.3836,13.646,14.5,0.0,
215,36804,52.51,173,76.9,0,0.3565,0.3146,35.213,17.3,0.0,
216,36966,138.13,162,100.0,0,0.3663,0.3447,121.934,16.2,0.0,
217,37140,87.28,174,100.0,0,0.5162,0.3424,69.883,17.4,0.0,
218,37294,96.8,154,100.0,0,0.4036,0.323,81.401,15.4,0.0,
219,37416,52.14,122,82.8,0,0.5163,0.3582,49.941,12.2,0.0,altitude_high
220,37585,82.97,169,100.0,0,0.481,0.3993,66.067,16.9,0.0,
221,37792,138.75,207,100.0,0,0.4115,0.3858,128.049,20.7,0.0,altitude_high
222,37982,91.17,190,99.5,0,0.4163,0.3986,72.174,19.0,0.0,
223,38138,112.98,156,100.0,0,0.4001,0.3471,97.379,15.6,0.0,
224,38300,108.27,162,100.0,0,0.4658,0.4367,92.07,16.2,0.0,
225,38461,77.97,161,100.0,0,0.3916,0.4119,71.875,16.1,0.0,altitude_high
226,38577,66.93,116,100.0,0,0.4584,0.3867,65.332,11.6,0.0,altitude_high
227,38801,96.51,224,89.7,0,0.4267,0.3414,74.115,22.4,0.0,
228,39012,19.47,211,64.9,0,0.4473,0.3566,-1.633,21.1,0.0,
229,39253,141.12,241,100.0,0,0.4116,0.3603,117.024,24.1,0.0,
230,39385,10.43,132,71.2,0,0.5347,0.3592,-2.766,13.2,0.0,
231,39587,192.1,202,100.0,0,0.4439,0.3853,171.899,20.2,0.0,
232,39766,135.23,179,96.6,0,0.3957,0.4238,117.33,17.9,0.0,
233,39932,121.73,166,100.0,0,0.3984,0.3744,105.133,16.6,0.0,
234,40133,137.91,201,99.5,0,0.4727,0.4668,127.812,20.1,0.0,altitude_high
235,40324,121.95,191,96.3,0,0.3904,0.3544,102.851,19.1,0.0,
236,40523,135.7,199,95.0,0,0.4844,0.3325,115.805,19.9,0.0,
237,40707,105.44,184,100.0,0,0.448,0.4094,97.036,18.4,0.0,altitude_high
238,40869,31.84,162,69.1,0,0.52,0.3341,15.642,16.2,0.0,
239,41056,102.46,187,83.4,0,0.485,0.4619,93.756,18.7,0.0,altitude_high
240,41232,111.88,176,100.0,0,0.4804,0.4189,94.279,17.6,0.0,
241,41397,94.65,165,100.0,0,0.4627,0.4214,78.15,16.5,0.0,
242,41628,146.14,231,100.0,0,0.5657,0.3751,123.038,23.1,0.0,
243,41880,124.98,252,82.5,0,0.422,0.3824,99.782,25.2,0.0,
244,42059,99.84,179,98.3,0,0.4587,0.4797,81.938,17.9,0.0,
245,42239,119.18,180,99.4,0,0.4294,0.393,101.18,18.0,0.0,
246,42535,233.67,296,100.0,0,0.3966,0.3957,204.065,29.6,0.0,
247,42732,131.73,197,98.0,0,0.4566,0.3679,112.035,19.7,0.0,
248,42882,108.38,150,100.0,0,0.4999,0.5,103.376,15.0,0.0,altitude_high
249,43042,39.29,160,75.6,0,0.3346,0.359,33.292,16.0,0.0,altitude_low
250,43195,119.55,153,100.0,0,0.4208,0.3254,104.254,15.3,0.0,
251,43382,151.07,187,100.0,0,0.4066,0.3517,132.366,18.7,0.0,
252,43560,99.64,178,100.0,0,0.4467,0.5427,91.845,17.8,0.0,altitude_high
253,43807,175.59,247,93.9,0,0.4542,0.3981,150.892,24.7,0.0,
254,43988,122.93,181,100.0,0,0.4457,0.3958,104.832,18.1,0.0,
255,44200,162.42,212,100.0,0,0.4545,0.3722,141.219,21.2,0.0,
256,44397,180.43,197,100.0,0,0.4128,0.5187,170.732,19.7,0.0,altitude_high
257,44610,197.04,213,100.0,0,0.4449,0.4815,175.736,21.3,0.0,
258,44820,75.85,210,84.8,0,0.4834,0.3467,54.846,21.0,0.0,
259,45032,91.46,212,75.5,0,0.4207,0.4757,80.261,21.2,0.0,altitude_low
260,45217,168.57,185,98.9,0,0.4413,0.5222,150.066,18.5,0.0,
261,45393,126.81,176,98.3,0,0.5382,0.3544,109.206,17.6,0.0,
262,45591,166.26,198,100.0,0,0.4917,0.4119,146.462,19.8,0.0,
263,45793,121.11,202,87.1,0,0.361,0.3621,100.905,20.2,0.0,
264,46029,218.93,236,100.0,0,0.4924,0.3959,195.327,23.6,0.0,
265,46227,198.27,198,100.0,0,0.4499,0.3894,178.469,19.8,0.0,
266,46411,133.14,184,100.0,0,0.4213,0.47,114.74,18.4,0.0,
267,46638,112.35,227,96.9,0,0.4254,0.3653,89.646,22.7,0.0,
268,46793,98.99,155,97.4,0,0.4658,0.4083,83.488,15.5,0.0,
